"cue_anexo","nombre","sector","estado","domicilio","cp","telefono","localidad","departamento","email","lat","lon"
"140377500","FRANCISCO NARCISO LAPRIDA","Estatal","Activo","CALLE PUBLICA S/Nº CAPILLA DEL CARMEN","X5197","","CAPILLA DEL CARMEN","CALAMUCHITA","dantkitayog.mail.com","-32.2004475311","-64.8213410849"
"140006200","JUAN PASCUAL PRINGLES","Estatal","Activo","CALLE PUBLICA S/Nº CAPILLA VIEJA (RESID. DEL I.O.S.E.)","X5194","","CAPILLA VIEJA","CALAMUCHITA","NO INFORMO","-31.9333454005","-64.6034792369"
"140231900","FLORENTINO AMEGHINO (C/ALBERGUE)","Estatal","Activo","CALLE PUBLICA S/Nº CERRO CHAMPAQUI P/VILLA ALPINA","X5196","4689362RED","CERRO CHAMPAQUI","CALAMUCHITA","ameghino_champ@hotmail.com","-31.9923407503","-64.906155239"
"140236700","25 DE MAYO","Estatal","Activo","CALLE PUBLICA S/N CERRO COLORADO","X5821","","CERRO COLORADO","CALAMUCHITA","esc.25demayo@hotmail.com","-32.4185961269","-64.6871708149"
"140119300","ENRIQUE EPAMINONDA PESCARMONA","Estatal","Activo","CALLE PUBLICA S/Nº CERRO PELADO P/AMBOY","X5199","","CERRO PELADO","CALAMUCHITA","","-32.2183924","-64.6415206"
"140377300","DOMINGO FRENCH","Estatal","Activo","CALLE PUBLICA S/Nº CERRO SAN LORENZO P/CNO. A RIO DE LOS SAUCES","X5821","","CERRO SAN LORENZO","CALAMUCHITA","domingofrench@hotmail.com","-32.4182700254","-64.6302267807"
"140023601","J.DE INF. PRIMERA JUNTA - ANEXO EL CORCOVADO","Estatal","Activo","LOS ROBLES S/N° EL CORCOVADO EL CORCOVADO","X5864","","EL CORCOVADO - EL TORREON","CALAMUCHITA","PRIMERAJUNTA@GRANDESLAGOS.COM.","-32.13978","-64.5046329"
"140183500","ESCUELA JUANA M. M. DE FERNANDEZ","Estatal","Activo","LOS ROBLES S/Nº EL CORCOVADO (VILLA RUMIPAL)","X5864","","EL CORCOVADO - EL TORREON","CALAMUCHITA","patri-06@hotmail.com","-32.1573337","-64.5195117"
"140237100","JOSE MANUEL ESTRADA","Estatal","Activo","CALLE PUBLICA EL ESPINILLO P/LA CRUZ","X5859","468361 INT.81","EL ESPINILLO","CALAMUCHITA","jme-elespinillo@live.com.ar","-32.3079691","-64.6693938"
"140183300","JOSE MARMOL","Estatal","Activo","CALLE PUBLICA S/Nº EL PARADOR DE LA MONTAÑA","X5196","","EL PARADOR DE LA MONTAÑA","CALAMUCHITA","miriamgonzalez_10@yahoo.com.ar","-32.100215759","-64.4704128633"
"140023400","GRAL. MANUEL BELGRANO","Estatal","Activo","CALLE PUBLICA S/Nº EL QUEBRACHO P/EMBALSE","X5856","","EL QUEBRACHO","CALAMUCHITA","sstapiaguerrero@hotmail.com.ar","-32.2474181","-64.3772314"
"140024900","ESCUELA RAFAEL OBLIGADO","Estatal","Activo","CALLE PUBLICA S/Nº CAMINO A HOTELES DE U.T.E.","X5856","","EMBALSE","CALAMUCHITA","rafaelobligado@itc.com.ar","-32.2137400821022","-64.4202602960085"
"140247600","ESCUELA ESTHER SANCHEZ DE ROUVIERE","Estatal","Activo","INGENIERO FITZ SIMON S/Nº CASITAS EMBALSE","X5856","","EMBALSE","CALAMUCHITA","","-32.1791018294486","-64.4182289655869"
"140247900","INST. SUPERIOR MARIANO FRAGUEIRO","Privado","Activo","LOS TRABAJADORES CASITAS EMBALSE","X5856","","EMBALSE","CALAMUCHITA","institutomarianofragueiro@yahoo.com.ar","-32.2159909845526","-64.4012032016928"
"140248000","J.DE INF. BELISARIO ROLDAN","Estatal","Activo","JOSE MANUEL ESTRADA 549 ESCUELA EMBALSE","X5856","","EMBALSE","CALAMUCHITA","Jjardinbelisario@redlago.com.ar","-32.214798586173","-64.3989497873642"
"140248100","J.DE INF. RAFAEL OBLIGADO","Estatal","Activo","CALLE PUBLICA S/Nº HOTELES CAMINO A HOTELES U.T.E.","X5856","","EMBALSE","CALAMUCHITA","","-32.2137489816308","-64.4202710446524"
"140248200","ESC. ESP. ROSA GOMEZ DE MELLINA","Estatal","Activo","FRANCISCO RAMIREZ Y LISANDRO DE LA TORRE S/N° CASINO EMBALSE","X5856","","EMBALSE","CALAMUCHITA","escuelamellina@hotmail.com","-32.220657264682","-64.3999296887849"
"140248300","ESCUELA BELISARIO ROLDAN","Estatal","Activo","TUCUMAN 121 ESCUELA EMBALSE","X5856","","EMBALSE","CALAMUCHITA","escuelabelisarior@hotmail.com","-32.214798586173","-64.3989497873642"
"140248400","C.E.N.M.A. Nº 211 DR. RENE FAVALORO","Estatal","Activo","CAMINO A LA CRUZ S/N LOS HOTELES EMBALSE P/CAMINO A LA CRUZ","X5856","","EMBALSE","CALAMUCHITA","cenma_embalse@hotmail.com","-32.2137489816308","-64.4202710446524"
"140419800","J.DE INF. ESTHER SANCHEZ DE ROUVIERE","Estatal","Activo","CALLE PUBLICA S/Nº CASITAS EMBALSE","X5856","","EMBALSE","CALAMUCHITA","JARDINROUVIERE96@YAHOO.COM.AR","-32.1791018294486","-64.4182289655869"
"140507700","I.P.E.A.y T. Nº 347","Estatal","Activo","ACONCAGUA LOS HOTELES EMBALSE P/CNO. A LA CRUZ-LOS HOTELES DE EMBALSE","X5856","","EMBALSE","CALAMUCHITA","ipem347@hotmail.com","-32.2231479572244","-64.3932421580284"
"140513116","ESC.DE SUBOF.Y AGENT.GRAL M BELGRANO ANEXO EMBALSE","Estatal","Inactivo","CAMINO A LA CRUZ S/N CENTRO EMBALSE","X5856","487751/2","EMBALSE","CALAMUCHITA","luis.avaca@policiacordoba.gov.ar","-32.2119810775354","-64.4174909079889"
"140006400","J.DE INF. ELOY GOMEZ","Estatal","Activo","Ruta Provincial N?5 74 RUTA PROVINCIAL N?5","X5189","","FALDA DE LOS REARTES","CALAMUCHITA","JARDINELOYGOMEZ@YAHOO.COM.AR","-31.9525401","-64.5314623"
"140006500","ESCUELA ELOY GOMEZ (EX-NACIONAL Nº 316)","Estatal","Activo","RUTA PROVINCIAL N°5 KM 74 S/Nº FALDA DE LOS REARTES","X5194","","FALDA DE LOS REARTES","CALAMUCHITA","silviacarrizo88@hotmail.com","-31.9525401","-64.5314623"
"140377200","OLEGARIO VICTOR ANDRADE","Estatal","Activo","CALLE PUBLICA S/Nº HUERTA VIEJA","X5821","155604579(direct.)","HUERTA VIEJA","CALAMUCHITA","ovandradehuertavieja@yahoo.com.ar","-32.5096493254","-64.7344240913"
"140236800","INSTITUTO DR. DALMACIO VELEZ SARSFIELD","Privado","Activo","SARMIENTO 236 CENTRO LA CRUZ","X5859","","LA CRUZ","CALAMUCHITA","dalmaciovslacruz@hotmail.com","-32.3021540013842","-64.483215624139"
"140237000","ESCUELA DOMINGO FAUSTINO SARMIENTO","Estatal","Activo","SARMIENTO 376 LA CRUZ","X5859","","LA CRUZ","CALAMUCHITA","dfs_lacruz@hotmail.com.ar","-32.3030054","-64.4834006"
"140247000","J.DE INF. DOMINGO F. SARMIENTO","Estatal","Activo","SARMIENTO 472 LA CRUZ","X5859","","LA CRUZ","CALAMUCHITA","fgotta@redlago.com.ar","-32.3038382","-64.4837581"
"140248405","C.E.N.M.A. Nº 211 DR. RENE FAVALORO ANEXO LA CRUZ","Estatal","Activo","SARMIENTO 236 LA CRUZ","X5859","","LA CRUZ","CALAMUCHITA","","",""
"140438000","INSTITUTO LOS TABAQUILLOS","Privado","Activo","CALLE PUBLICA LA CUMBRECITA","X5194XAC","481017-481820","LA CUMBRECITA","CALAMUCHITA","lostabaquillos@hotmail.com","-31.8953400633724","-64.7731710750542"
"140484501","C.E.N.M.A. STA ROSA DE CALAMUCHITA - ANEXO EXT.AULICA LA CUMBRECITA","Estatal","Activo","CALLE PUBLICA LA CUMBRECITA","X5196","","LA CUMBRECITA","CALAMUCHITA","","-31.8920516967779","-64.7695846557617"
"140526300","C.E.N.P.A. LA CUMBRECITA","Estatal","Activo","CALLE PUBLICA S/N LA CUMBRECITA","X5194","","LA CUMBRECITA","CALAMUCHITA","","-31.89205","-64.76958"
"140006600","JERONIMO LUIS DE CABRERA","Estatal","Activo","CALLE PUBLICA PARAJE LA DORMIDA P/LA CRUZ","X5859","","LA DORMIDA","CALAMUCHITA","jeronimoldcabrera13@hotmail.com","-32.3595285","-64.4328036"
"140377600","NICOLAS AVELLANEDA","Estatal","Activo","CALLE PUBLICA LA SIERRITA P/VILLA DEL DIQUE","X5862","","LA SIERRITA","CALAMUCHITA","mariabelen81@live.com.ar","-32.1450273","-64.438369"
"140119600","J.DE INF. DR. JUAN MANUEL ALBARENQUE","Estatal","Activo","CALLE PUBLICA S/Nº LAS BAJADAS -KM.730 P/RUTA NACIONAL Nº 36","X5854","","LAS BAJADAS","CALAMUCHITA","flor_moriellli@hotmail.com","-32.0944427","-64.3313616"
"140182800","ESCUELA DOCTOR JUAN MANUEL ALBARENQUE","Estatal","Activo","CALLE PUBLICA S/Nº KM 730 P/RUTA NACIONAL N° 36","X5854","","LAS BAJADAS","CALAMUCHITA","","-32.0944427","-64.3313616"
"140232000","FRANCISCO ORTIZ DE OCAMPO","Estatal","Activo","CALLE PUBLICA S/Nº LAS CALERAS P/BERROTARAN","X5819","4892996PUB","LAS CALERAS","CALAMUCHITA","llbattaglia80@hotmail.com.ar","-32.3900065","-64.5201805"
"140247001","J.DE INF. DOMINGO F. SARMIENTO ANEXO LAS CALERAS","Estatal","Activo","CALLE PUBLICA POR BERROTARAN","X5819","","LAS CALERAS","CALAMUCHITA","pomperoloco@hotmail.com","-32.3900857","-64.5202093"
"140388502","C.E.N.M.A. Nº 61 - ANEXO LAS CALERAS","Estatal","Activo","PRESIDENTE PERON","X5819","","LAS CALERAS","CALAMUCHITA","","-32.3900461","-64.5201949"
"140182600","JOSE GABRIEL BROCHERO","Estatal","Activo","CALLE PUBLICA S/N LAS LAGUNITAS P/RIO DE LOS SAUCES","X5821","155097976(direct.)","LAS LAGUNITAS","CALAMUCHITA","","-32.6071287264","-64.7290934488"
"140023500","INSTITUTO DR. ABRAHAM MOLINA","Privado","Activo","URQUIZA 375 LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","idam@dat13.com.ar","-32.3218077024574","-64.2762608499421"
"140073200","I.P.E.T. y M. Nº 75 - DR. RENE FAVALORO","Estatal","Activo","AV. CHACABUCO 263 LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","ipem75@ltc.com","-32.3251066595148","-64.2827343686823"
"140073300","J.DE INF. FRENCH Y BERUTTI","Estatal","Activo","MARIANO MORENO 529 LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","grislybarberis@hotmail.com","-32.3231092889114","-64.2795617093705"
"140073400","ESCUELA BALDOMERO EUGENIO FERNANDEZ MORENO","Estatal","Activo","SARMIENTO 528 LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","eugeniofernandezmoreno@hotmail.com","-32.3231998286861","-64.2786387550027"
"140247500","COLEGIO SAGRADO CORAZON","Privado","Activo","AVENIDA DON BOSCO 101 CENTRO LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","SCORAZON@DAT13.COM.AR","-32.3198961807427","-64.2770732469508"
"140305801","C.E.N.M.A. ALMAFUERTE - ANEXO LOS CONDORES","Estatal","Activo","SARMIENTO 528 CENTRO LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","cenma_loscondores@hotmail.com","-32.3231998286861","-64.2786387550027"
"140489700","ESCUELA JOSE MARIA PAZ","Estatal","Inactivo","CALLE PUBLICA 0 SIERRA DE LOS CONDORES P/LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","","-32.3178081755","-64.3597630639"
"140498500","C.E.N.P.A. DE LOS CONDORES","Estatal","Activo","SARMIENTO 530 CENTRO LOS CONDORES","X5823","","LOS CONDORES","CALAMUCHITA","","-32.3231998286861","-64.2786387550027"
"140073600","ESCUELA JUAN LARREA","Estatal","Activo","CALLE PUBLICA S/N LOS MOLINOS","X5189","","LOS MOLINOS","CALAMUCHITA","escjuanlarrea@hotmail.com.ar","-31.8546267910076","-64.3778330777501"
"140107701","J.DE INF. MARIANO MORENO - ANEXO DE LOS MOLINOS","Estatal","Activo","CALLE PUBLICA S/Nº LOS MOLINOS","X5189","489700DIR","LOS MOLINOS","CALAMUCHITA","","-31.8546119428","-64.3778019603"
"140005700","ESCUELA PEDRO BONIFACIO PALACIOS","Estatal","Activo","MANUEL BELGRANO S/Nº LOS REARTES","X5194","","LOS REARTES","CALAMUCHITA","NO INFORMO","-31.9198930654","-64.5758833983"
"140288301","I.P.E.M. N°168 DIEGO DE ROJAS- ANEXO DE LOS REARTES","Estatal","Activo","BELGRANO LOS REARTES","X5194","15418510/154922911","LOS REARTES","CALAMUCHITA","Ipem168losreartes@calamuchitanet.com.ar","-31.9198979853","-64.5758832116"
"140484503","C.E.N.M.A. SANTA ROSA DE CALAMUCHITA - ANEXO LOS REARTES","Estatal","Activo","AVENIDA SAN MARTIN LOS REARTES","X5194","","LOS REARTES","CALAMUCHITA","cenmacenpalosreartes@gmail.com","-31.9180851258543","-64.5754694458787"
"140488800","J.DE INF. ZORAIDA LAMAS","Estatal","Activo","AV. SAN MARTIN 0 LOS REARTES","X5194","","LOS REARTES","CALAMUCHITA","jorg_lina_@hotmail.com","-31.9199113549242","-64.5764183344003"
"140500300","C.E.N.P.A. DE LOS REARTES","Estatal","Activo","AV. SAN MARTIN CENTRO LOS REARTES","X5194","","LOS REARTES","CALAMUCHITA","cenmacenpalosreartes@gmail.com","-31.9180851258543","-64.5754694458787"
"140012500","LEANDRO N. ALEM","Estatal","Activo","PUBLICA S/N 0 PARAJE LOS VALLECITOS P/LA CRUZ( A LUTTI + 25 KM)","X5859","15662826(direct.)","LOS VALLECITOS","CALAMUCHITA","andreandre1970@hotmail.com.ar","-32.3572316932","-64.8517217541"
"140237300","LEOPOLDO LUGONES","Estatal","Activo","CALLE PUBLICA S/Nº LUTTI P/LA CRUZ","X5859","","LUTTI","CALAMUCHITA","luttiee0550599@hotmail.com","-32.3185165288","-64.7475381762"
"140376901","I.P.E.M. N° 252 AURELIA J. MONTRASI DE VILLARREAL ANEXO LUTTI","Estatal","Activo","CALLE PUBLICA S/N LUTTI (SE ACCEDE POR CNO DE TIERRA DESDE LA CRUZ)","X5859","155097979 Director","LUTTI","CALAMUCHITA","silvimicalutti@hotmail.com","-32.305539702138","-64.7316691345"
"140079700","ALFREDO LORENZO PALACIOS","Estatal","Activo","CALLE PUBLICA S/Nº CAMPO BARRIO NORTE P/SAN AGUSTIN","X5191","","NO FIGURA EN TABLA","CALAMUCHITA","","-31.9405301","-64.3690655"
"140079800","MARTIN GUEMES","Estatal","Activo","CALLE PUBLICA S/Nº PARQUE CALMAYO P/SAN AGUSTIN","X5191","","PARQUE CALMAYO","CALAMUCHITA","","-32.029260659","-64.4667865731"
"140232200","HIPOLITO YRIGOYEN","Estatal","Activo","CALLE PUBLICA S/Nº RIO DE LA CRUZ OESTE","X5821","","R. DE LA CRUZ OESTE","CALAMUCHITA","gabrielacarr96@hotmail.com","-32.450881","-64.5312326"
"140376800","ESCUELA DOMINGO FAUSTINO SARMIENTO","Estatal","Activo","SARMIENTO S/Nº RIO DE LOS SAUCES","X5821","","RIO DE LOS SAUCES","CALAMUCHITA","domingofaustinordlsauces@yahoo.com","-32.5293922822","-64.5906076622"
"140376900","I.P.E.M. Nº 252 AURELIA.J.MONTRASI DE VILLARREAL","Estatal","Activo","SARMIENTO S/N° BANDA NORTE RIO DE LOS SAUCES","X5821","","RIO DE LOS SAUCES","CALAMUCHITA","ipem252@hotmail.com / ipem252@yahoo.com.ar","-32.5293553335","-64.5907158171"
"140377000","J.DE INF. DOMINGO FAUSTINO SARMIENTO","Estatal","Activo","CALLE PUBLICA S/Nº RIO DE LOS SAUCES","X5821","","RIO DE LOS SAUCES","CALAMUCHITA","jardinsauceno@yahoo.com.ar","-32.5291672394","-64.591233521"
"140388501","C.E.N.M.A. N° 61 - ANEXO DE RIO DE LOS SAUCES","Estatal","Activo","SARMIENTO S/Nº RIO DE LOS SAUCES","X5821","","RIO DE LOS SAUCES","CALAMUCHITA","","-32.5294264194559","-64.590438988203"
"140523300","C.E.N.P.A. RIO DE LOS SAUCES","Estatal","Activo","SARMIENTO","X5821","","RIO DE LOS SAUCES","CALAMUCHITA","suforest2005@hotmail.com","-32.5294264194559","-64.590438988203"
"140182900","VICTOR MERCANTE","Estatal","Activo","CALLE PUBLICA S/Nº RIO DEL DURAZNO P/VILLA YACANTO DE CALAMUCHITA","X5197","","RIO DEL DURAZNO","CALAMUCHITA","","-32.1707388029","-64.7722519377"
"140182500","JUAN PASCUAL PRINGLES","Estatal","Activo","CALLE PUBLICA S/N RODEO DE LOS CABALLOS P/RIO DE LOS SAUCES","X5821","","RODEO DE LOS CABALLOS","CALAMUCHITA","pascualpringles@yahoo.com.ar","-32.4745520637325","-64.7993909556024"
"140080000","COLEGIO SAN JOSE","Privado","Activo","VILLAFAÑE 1084 SAN AGUSTIN","X5191","","SAN AGUSTIN","CALAMUCHITA","SANJOSESANAGUSTIN@HOTMAIL.COM","-31.9725062435806","-64.3745196612617"
"140080100","C.E.N.P.A. Nº 23 GENERAL SAN MARTIN","Estatal","Activo","ROQUE SAENZ PEÑA 118 SAN AGUSTIN","X5191","","SAN AGUSTIN","CALAMUCHITA","","-31.9761125975733","-64.3773868214141"
"140286800","INSTITUTO SAN JOSE","Privado","Activo","VILLAFA? 1084 SAN AGUSTIN","X5191","","SAN AGUSTIN","CALAMUCHITA","sanjosesanagustin@hotmail.com","-31.9725062435806","-64.3745196612617"
"140289000","ESCUELA GENERAL SAN MARTIN","Estatal","Activo","ROQUE SAENZ PEÑA 118 SAN AGUSTIN","X5191","","SAN AGUSTIN","CALAMUCHITA","ESCUELASANMARTIN@DCC.COM.AR","-31.9761131410097","-64.3776019232838"
"140295200","J.DE INF. GRAL. SAN MARTIN","Estatal","Activo","JOSE MARIA GIGENA 502 SAN AGUSTIN","X5191","","SAN AGUSTIN","CALAMUCHITA","gracielafreytes@hotmail.com","-31.9767008629263","-64.3778814518348"
"140305803","C.E.N.M.A. ALMAFUERTE - ANEXO EXT.AULICA SAN AGUSTIN","Estatal","Activo","ROQUE SAENZ PEÑA 118 SAN AGUSTIN - CALAMUCHITA","X5191","","SAN AGUSTIN","CALAMUCHITA","cenmaalmafuertesanagustin@hotmail.com","-31.9405301","-64.3690655"
"140504000","I.P.E.T. Nº 331","Estatal","Activo","URQUIZA SAN AGUSTIN","X5191","","SAN AGUSTIN","CALAMUCHITA","ipem331@yahoo.com.ar","-31.976747238389","-64.3771478443313"
"140377400","AERONAUTICA ARGENTINA","Estatal","Activo","CALLE PUBLICA 0 PARAJE SAN FRANCISCO P/RIO DE LOS SAUCES","X5821","","SAN FRANCISCO","CALAMUCHITA","","-32.5834944759","-64.5870246069"
"140020901","J.DE INF. MARIANO MORENO - ANEXO SAN IGNACIO","Estatal","Activo","CALLE PUBLICA S/Nº ZONA RURAL SAN IGNACIO","X5199","","SAN IGNACIO (LOTEO SAN JAVIER)","CALAMUCHITA","","-32.1573337","-64.5195117"
"140183200","ESCUELA DEAN FUNES","Estatal","Activo","CALLE PUBLICA S/Nº SAN IGNACIO","X5199","","SAN IGNACIO (LOTEO SAN JAVIER)","CALAMUCHITA","","-32.1398107","-64.5045745"
"140182400","ESCUELA RICARDO ROJAS","Estatal","Activo","CALLE PUBLICA S/Nº SAN JOSE","X5199","","SAN JOSE","CALAMUCHITA","","-32.1513274096","-64.6213037789"
"140377100","RICARDO GUTIERREZ","Estatal","Activo","CALLE PUBLICA S/N° PARAJE SAN JPSE","X5821","155097048(direct.)","SAN JOSE","CALAMUCHITA","","-32.5770577","-64.6785139"
"140183000","BERNARDINO RIVADAVIA","Estatal","Activo","CALLE PUBLICA S/Nº SAN ROQUE","X5197","","SAN ROQUE","CALAMUCHITA","DELALUNAYELLEON@HOTMAIL.COM","-32.2162493","-64.6720222"
"140237800","ESCUELA MALVINAS ARGENTINAS","Estatal","Activo","JUANITA CANESSA S/Nº SANTA MONICA","X5197","","SANTA MONICA","CALAMUCHITA","","-32.0670247","-64.577919"
"140237900","J.DE INF. HERMANA JUANITA CANESSA","Estatal","Activo","JUANITA CANESSA S/Nº SANTA MONICA","X5197","","SANTA MONICA","CALAMUCHITA","ADRIANAMOYANO@.HOTMAIL.COM.AR","-32.0670247","-64.577919"
"140005801","I.P.E.A. Nº 238 CARLOS MARIA MAMPAEY - ANEXO SANTA ROSA DE CALAMUCHITA","Estatal","Activo","CHILE Y JAIME DAVALOS CENTRO SANTA ROSA DE CALAMUCHITA","5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","ipea238anexosantarosa@gmail.com","-32.0677338","-64.5497437"
"140020800","ESCUELA LUIS MARIA DRAGO","Estatal","Activo","CALLE 22 ESQ. 5 VILLA RIO SANTA ROSA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","s_bruera@hotmail.com","-32.0857082297528","-64.5344202917556"
"140020900","J.DE INF. MARIANO MORENO","Estatal","Activo","EL NOGAL 164 CENTRO SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","jmarianomoreno@hotmail.com","-32.0696737748081","-64.5401831263583"
"140021000","J.DE INF. LUIS MARIA DRAGO","Estatal","Activo","CALLE 5 S/Nº VILLA INCOR SANTA ROSA DE CALAMUCHITA","X5196","421094DIR","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","guscabrera64@hotmail.com","-32.0855515743877","-64.5347121468097"
"140021100","INSTITUTO SAN FRANCISCO DE ASIS","Privado","Activo","CALLE 5 S/Nº VILLA RIO SANTA ROSA SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","isfa.secretaria@yahoo.com.ar.","-32.0788365330831","-64.5354539489411"
"140119800","I.P.E.M. Nº 271 DR. DALMACIO VELEZ SARSFIELD","Estatal","Activo","AV. DR. DELL ACQUA 300 GOMEZ SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","ipem271@yahoo.com.ar","-32.0641153728689","-64.53679903507"
"140182300","COLEGIO PARROQUIAL SAN JUAN DIEGO (EX Q.CENTENARIO)","Privado","Activo","AVENIDA INTENDENTE ANGEL LLANOS 320 QUINTO CENTENARIO SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","QUINTOCENTENARIO@CALAMUCHITANET.COM","-32.0739359241121","-64.5285938362931"
"140242700","ESCUELA MARIANO MORENO","Estatal","Activo","LIBERTAD 470 CENTRO SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","centenariamarianom@ yahoo.com.ar","-32.0661722591138","-64.5383531337215"
"140247100","ESCUELA GABRIELA MISTRAL","Estatal","Activo","LA TACUARITA S/Nº VILLA STRADA SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","escuelagabrielamistral@conect_ar.com.ar","-32.0665264459152","-64.5639330988743"
"140328100","INSTITUTO PARROQUIAL SAN JUAN DIEGO","Privado","Activo","AV.INTENDENTE ANGEL LLANOS 320 QUINTO CENTENARIO SANTA ROSA DE CALAMUCHITA","X5196","420713-421996","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","ip_sanjuandiego@yahoo.com.ar","-32.0739359241121","-64.5285938362931"
"140448600","J.DE INF. EL MUNDO DE LOS CHICOS","Privado","Activo","MARIANO MORENO 49 CENTRO SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","elmundodeloschicos_src.@hotmail.com.","-32.0687360615675","-64.5403473675736"
"140470901","ESC.ESP.RENACER-ANEXO SANTA ROSA DE CALAMUCHITA","Estatal","Activo","DIEGO GARZON ESQ. MENDOZA S/N° CENTRO SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","centrorayitodeluz@live","-32.0737582493889","-64.538173833664"
"140471600","INST. SUP. SANTA ROSA DE CALAMUCHITA","Estatal","Activo","CHILE s/n° INDEPENDENCIA entre Av.Int.Angel LLanos y J.Avalos","X5196","421599 /436693","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","ins_calamuchita@hotmail.com","-32.0732249433537","-64.532442907119"
"140484500","C.E.N.M.A. SANTA ROSA DE CALAMUCHITA","Estatal","Activo","LIBERTAD 470 CENTRO SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","cenmasantarosa@hotmail.com.ar","-32.0661722591138","-64.5383531337215"
"140484600","C.E.N.P.A. VILLA RIO SANTA ROSA","Estatal","Activo","CALLE 22 VILLA RIO SANTA ROSA SANTA ROSA DE CALAMUCHITA","X5196","","SANTA ROSA DE CALAMUCHITA","CALAMUCHITA","","-32.0857176213948","-64.5341419172774"
