"id","mesa_hasta","codigo_distrito","mesa_desde","codigo_postal","cant_mesas","direccion","seccion","circuito","localidad","distrito","establecimiento","dne_distrito_id","dne_seccion_id"
"6129","229","4","202","5016","28","GUARDADO 184 B°LAS FLORES","1","0004A","CAPITAL","CÓRDOBA","ESC SAN FRANCISCO DE ASIS","4","1"
"6130","274","4","262","5000","13","ELIAS YOFRE 1095 - B° JARDIN","1","0004B","CAPITAL","CÓRDOBA","COL NICOLAS BERROTARAN","4","1"
"6131","261","4","252","5000","10","P.L.DE CABRERA ESQ.TANTI B°V.  REVOL","1","0004B","CAPITAL","CÓRDOBA","ESC ING MASJOAN","4","1"
"6132","251","4","230","5000","22","INCA MANCO 3450 - B°JARDIN  ESPINOSA","1","0004B","CAPITAL","CÓRDOBA","INST EDUC NTRA SEÑORA","4","1"
"6133","279","4","275","5000","5","DEFENSA S/N° LA HUERTILLA","1","0004C","CAPITAL","CÓRDOBA","ESC L SUAREZ DE FIGUEROA","4","1"
"6134","286","4","280","5000","7","PIZARRO ESQ. NIVOLI","1","0004C","CAPITAL","CÓRDOBA","ESC SAN JOSE DE CALASANZ","4","1"
"6135","291","4","287","5000","5","CNO A SAN CARLOS KM.5 1/2","1","0004D","CAPITAL","CÓRDOBA","COL VILLA EUCARISTICA","4","1"
"6136","296","4","292","","5","DDE.CMO.S.ANTONIO KM 7  1/2,1KM.AL O.","1","0004E","","CÓRDOBA","ESC.SABIN","4","1"
"6137","302","4","297","","6","MANZANA 49 B° C.OBISPO  ANGELELLI","1","0004F","","CÓRDOBA","NSC.OSCAR RAUL MALVASIO","4","1"
"6138","357","4","349","","9","AGUSTIN GARZON 5600","1","0005A","B° 1 DE MAYO","CÓRDOBA","ELENA LOPEZ LALLANA","4","1"
"6139","348","4","343","5000","6","S JERONIMO 5500/ALMAGRO  COL LOLA","1","0005A","CAPITAL","CÓRDOBA","ESC MUNICIPAL A GASTALDI","4","1"
"6140","363","4","358","5000","6","JOSE A CABRERA 4717 B°DEAN  FUNES","1","0005B","CAPITAL","CÓRDOBA","ESC 9 DE JULIO","4","1"
"6141","396","4","389","5000","8","ANCASTI 4555 B°EMPALME","1","0005C","CAPITAL","CÓRDOBA","ESC JUAN M DE PUEYRREDON","4","1"
"6142","376","4","364","5000","13","JUNIN 3480 B°EMPALME","1","0005C","CAPITAL","CÓRDOBA","ESC PROVINCIA DE LA RIOJA","4","1"
"6143","388","4","377","5000","12","CAUCETE 4008 B°EMPALME","1","0005C","CAPITAL","CÓRDOBA","ESC VICTOR MERCANTE","4","1"
"6144","413","4","402","","12","CALLAO 2320","1","0005C","1 DE MAYO","CÓRDOBA","FRAY JUSTO STA MARÍA DE ORO","4","1"
"6145","401","4","397","","5","LAS ARRIAS 4043 B°EMPALME","1","0005C","CAPITAL","CÓRDOBA","INST SEC EMPALME GONZALEZ LACA","4","1"
"6146","435","4","428","5000","8","CAMPO LA RIBERA","1","0005D","CAPITAL","CÓRDOBA","BAC TEC DR F ESCARDO","4","1"
"6147","419","4","414","5000","6","CAMPO LA RIBERA","1","0005D","CAPITAL","CÓRDOBA","ESC CANONIGO PIÑERO","4","1"
"6148","427","4","420","5000","8","OBPO CASTELLANOS 256  B°MÜLLER","1","0005D","CAPITAL","CÓRDOBA","ESC MARTIN DE GÜEMES","4","1"
"6149","443","4","436","5000","8","OB.CASTELLANO 955,S.VICENTE","1","0005D","CAPITAL","CÓRDOBA","IPEM 184-M.FRAGUEIRO","4","1"
"6150","451","4","444","5000","8","BENJAMIN VIEL 2387 - B°V  BUSTOS","1","0005E","CAPITAL","CÓRDOBA","ESC TTE GRAL P RICCHIERI","4","1"
"6151","456","4","452","5006","5","CALINGASTA 5800 (ESQ  TULUMBA)","1","0005E","VILLA BUSTOS","CÓRDOBA","IPEM 136 DR ALFREDO PALACIOS","4","1"
"6152","468","4","457","5000","12","M BRAVO Y PJE.MATHEUB°  RENACIMIENTO","1","0005F","CAPITAL","CÓRDOBA","ESC M COOPERATIVISMO ARGENTINO","4","1"
"6153","517","4","511","5000","7","SARGENTO CABRAL 1153 B°SAN  VICENTE","1","0005G","CAPITAL","CÓRDOBA","ESC A F AVALOS","4","1"
"6154","490","4","478","5000","13","LOPEZ Y PLANES 2253 B°SAN  VICENTE","1","0005G","CAPITAL","CÓRDOBA","ESC DGO F SARMIENTO","4","1"
"6155","510","4","502","5000","9","CORRIENTES 2006 B°SAN  VICENTE","1","0005G","CAPITAL","CÓRDOBA","ESC MARIA IGNACIA NAVARRO DE L","4","1"
"6156","501","4","491","5000","11","AGUSTIN GARZON 1563 B°SAN  VICENTE","1","0005G","CAPITAL","CÓRDOBA","ESC PTE RIVADAVIA","4","1"
"6157","477","4","469","5000","9","LOPEZ Y PLANES 2936 B°SAN  VICENTE","1","0005G","CAPITAL","CÓRDOBA","ESC SANTA MARGARITA DE CORTONA","4","1"
"6158","522","4","518","","5","MANZANA 7, B° VILLA BOEDO","1","0005H","","CÓRDOBA","ESC. MADRE MARIA DEL TRANSITO","4","1"
"6159","534","4","527","","8","MANZANA 47,B° CIUDAD EVITA","1","0005I","","CÓRDOBA","ESC.PTE. JUAN D.PERÓN","4","1"
"6160","526","4","523","","4","CALLE PUBLICA S/N (CNO VILLA  POSSE)","1","0005I","B° CIUDAD EVITA","CÓRDOBA","ESCUELA HEROES DE MALVINAS","4","1"
"6161","552","4","551","5000","2","PUBLICA S/N° B°SANGRE Y SO","1","0006A","CAPITAL","CÓRDOBA","ESC MUNICIPAL DR A SOBRAL","4","1"
"6162","553","4","553","5000","1","CNO CHACRA DE LA MERCED KM  6 1/2","1","0006B","CAPITAL","CÓRDOBA","ESC VAN GELDEREN","4","1"
"6163","586","4","568","5000","19","VIAMONTE 150 B°GRAL PAZ","1","0006C","CAPITAL","CÓRDOBA","ESC NORMAL GARZON AGULLA","4","1"
"6164","567","4","554","5000","14","VIAMONTE 446 B°GRAL.PAZ","1","0006C","CAPITAL","CÓRDOBA","ESC RAMON J CARCANO","4","1"
"6165","607","4","597","5000","11","ARENALES Y LA PLATA  B°JUNIORS","1","0006D","CAPITAL","CÓRDOBA","ESC BRIGADIER C SAAVEDRA","4","1"
"6166","596","4","587","5000","10","LEONOR DE TEJEDA B°JUNIORS  1353","1","0006D","CAPITAL","CÓRDOBA","ESC GABRIELA MISTRAL","4","1"
"6167","612","4","608","5000","5","CNO CHACRA DE LA MERCED KM  9 Y 1/2","1","0006E","CAPITAL","CÓRDOBA","ESC TRANSITO CACERES DE ALLEND","4","1"
"6168","635","4","625","5000","11","GERMANIA 2500 B°YAPEYU","1","0006F","CAPITAL","CÓRDOBA","ESC GDOR AMADEO SABATTINI","4","1"
"6169","624","4","613","5000","12","24 DE SETIEMBRE 2400  B°YAPEYU","1","0006F","CAPITAL","CÓRDOBA","ESC R GÜIRALDES","4","1"
"6170","655","4","643","5000","13","JUAN B JUSTO/AV N SRA D LOS  MILAGROS 0","1","0007A","B° GUIÑAZU","CÓRDOBA","ESC UNESCO","4","1"
"6171","642","4","637","","6","CALLE DE LA CUECA 0","1","0007A","GUIÑAZU","CÓRDOBA","IPEM N° 22 JUAN FILLOY","4","1"
"6172","673","4","656","5000","18","MANUEL LUCERO 560 B°ALTA  CORDOBA","1","0007B","CAPITAL","CÓRDOBA","ESC MANUEL LUCERO","4","1"
"6173","684","4","674","5000","11","TRAFALGAR 875 B°ALTA  CORDOBA","1","0007B","CAPITAL","CÓRDOBA","ESC PCIA DE ENTRE RIOS","4","1"
"6174","697","4","685","5000","13","A DEL VISO 445 B°ALTA  CORDOBA","1","0007B","CAPITAL","CÓRDOBA","INST CORAZON DE MARIA","4","1"
"6175","720","4","710","5000","11","LAVALLEJA 2257 B°ALTA  CORDOBA","1","0007B","CAPITAL","CÓRDOBA","INST MANUEL LUCERO","4","1"
"6176","709","4","698","5000","12","M FRAGUEIRO B°ALTA CORDOBA  2400","1","0007B","CAPITAL","CÓRDOBA","INST NUESTRA MADRE DE LA MERCE","4","1"
"6177","721","4","721","5000","1","MATIENZO 5895 B°J NEWBERY","1","0007C","CAPITAL","CÓRDOBA","ESC J NEWBERY","4","1"
"6178","738","4","732","5000","7","RODRIGUEZ PEÑA 1548  B°COFICO","1","0007D","CAPITAL","CÓRDOBA","ESC PCIA DE FORMOSA","4","1"
"6179","731","4","722","5000","10","R SAENZ PEÑA 1212 B°COFICO","1","0007D","CAPITAL","CÓRDOBA","ESC PTE SARMIENTO","4","1"
"6180","747","4","739","5000","9","JERONIMO LUIS DE CABRERA  834","1","0007D","CAPITAL","CÓRDOBA","ESC. GARCIA FAURE","4","1"
"6181","761","4","748","5000","14","T DE IROBI B°M DE  SOBREMONTE","1","0007E","CAPITAL","CÓRDOBA","ESC HONORATO LACONI","4","1"
"6182","775","4","762","5000","14","P DE GUZMAN 131 B°M DE  SOBREMONTE","1","0007E","CAPITAL","CÓRDOBA","ESC PETER PAN","4","1"
"6183","793","4","787","","7","FRANCISCO SUAREZ 3760","1","0007E","MARQUEZ DE  SOBREMONT","CÓRDOBA","IPEM 338","4","1"
"6184","778","4","776","5000","3","NUFLO DE AGUILAR 541","1","0007E","CAPITAL","CÓRDOBA","J DE INF B.RIVADAVIA","4","1"
"6185","786","4","779","5000","8","PEREZ CORREA 1500 M DE  SOBREMONTE","1","0007E","CAPITAL","CÓRDOBA","JOSE LUIS SERCIC","4","1"
"6186","803","4","794","5000","10","MATIENZO 5895 B°J NEWBERY","1","0007F","CAPITAL","CÓRDOBA","ESC JORGE NEWBERY","4","1"
"6187","812","4","804","5000","9","CTDA 8 S/N°B°R DE ESCALAD","1","0007F","CAPITAL","CÓRDOBA","ESC NACIONES UNIDAS","4","1"
"6188","818","4","813","","6","ORIGONE ESQ CAROLA  LORENZINI","1","0007F","JORGE NEWBERY","CÓRDOBA","IPEM 121 PAEZ MOLINA","4","1"
"6189","830","4","819","5000","12","AVELLANEDA 4100  B°MFRAGUEIRO","1","0007G","CAPITAL","CÓRDOBA","ESC ARTURO CAPDEVILA","4","1"
"6190","842","4","831","5000","12","FRAGUEIRO (MANZANA ""C""  4200","1","0007G","CAPITAL","CÓRDOBA","ESC FRANCISCO VIDAL","4","1"
"6191","852","4","847","","6","SOSA REVELLO Y 15 DE  SEPTIEMBRE 590","1","0007G","B° PANAMERICANO","CÓRDOBA","IPEM 199 ""JUAN EMILIO REMONDA""","4","1"
"6192","844","4","843","5000","2","AVELLANEDA 4100 B°M  FRAGUEIRO","1","0007G","CAPITAL","CÓRDOBA","J DE INF ARTURO CAPDEVILA","4","1"
"6193","846","4","845","5000","2","FRAGUEIRO (MANZANA ""C""  4200","1","0007G","CAPITAL","CÓRDOBA","J DE INF FCO VIDAL","4","1"
"6194","865","4","855","5000","11","BARRIENTOS Y HERRERA B°AMPL  PALMAR","1","0008A","CAPITAL","CÓRDOBA","ESC EMILIO E SANCHEZ","4","1"
"6195","890","4","881","5000","10","ANA M JANER 1551  B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","ESC DEAN FUNES","4","1"
"6196","872","4","866","5000","7","ESQUIU 1340 B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","ESC FRAY J A DE SAN ALBERTO","4","1"
"6197","912","4","901","5000","12","PADRE LUIS MONTI 1850  B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","ESC ROBLES","4","1"
"6198","880","4","873","5000","8","ANA M JANER 1250  B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","INST OBISPO CAIXAL","4","1"
"6199","922","4","913","5000","10","BUCHARDO 1729 B°  PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","INST SAGRADA FAMILIA","4","1"
"6200","900","4","891","5000","10","ROMA 1153 B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","INST SAGRADO CORAZON","4","1"
"6201","947","4","935","5000","13","SAN MARTIN S/N° B° YOFRE SUD","1","0008C","CAPITAL","CÓRDOBA","ESC ALMIRANTE BROWN","4","1"
"6202","934","4","923","5000","12","E SAN MARTIN 1251 B°YOFRE  SUD","1","0008C","CAPITAL","CÓRDOBA","ESC TRINIDAD MORENO","4","1"
"6203","980","4","973","5000","8","CIUDAD DEL BARCO 3315 LA  FRANC","1","0009A","CAPITAL","CÓRDOBA","COL PQUIAL C NAMUNCURA","4","1"
"6204","972","4","966","5000","7","TALAVERA DE MADRID 3261  B°LA FRANCE","1","0009A","CAPITAL","CÓRDOBA","ESC MAHATMA GANDHI","4","1"
"6205","994","4","989","5000","6","MALVINO 2772 B°LAS  MARGARITAS","1","0009B","CAPITAL","CÓRDOBA","ESC CONGRESO DE TUCUMAN","4","1"
"6206","1004","4","995","5000","10","LA GRANJA 3199 B°ALTO VERDE","1","0009B","CAPITAL","CÓRDOBA","ESC MIGUEL RODRIGUEZ DE LA TOR","4","1"
"6207","988","4","981","5000","8","J.LOPEZ 2050 B°ALTOS DE V  CABRER","1","0009B","CAPITAL","CÓRDOBA","ESC RICARDO ROJAS","4","1"
"6208","1024","4","1015","5000","10","FCO VALLE 2443 B°LOS  PARAISOS","1","0009C","CAPITAL","CÓRDOBA","COLEGIO FERMIN LAFITTE","4","1"
"6209","1014","4","1005","5000","10","PLATON 3030 B°LOS PARAISO","1","0009C","CAPITAL","CÓRDOBA","ESC DE COMERCIO J J PASO","4","1"
"6210","1031","4","1025","5000","7","ZARATE 2083 - B° ZUMARAN","1","0009C","CAPITAL","CÓRDOBA","ESC JUVENILIA","4","1"
"6211","1045","4","1032","5000","14","FIRPO 2254 B° ZUMAR","1","0009C","CAPITAL","CÓRDOBA","ESC PCIA DE MISIONES","4","1"
"6212","1053","4","1046","5000","8","RAUL CASARIEGO 4479 B°P  LUGONES","1","0009D","CAPITAL","CÓRDOBA","COL EL SALVADOR","4","1"
"6213","1063","4","1054","5000","10","LESPADA Y GALVEZ B°POETA  LUGONES","1","0009D","CAPITAL","CÓRDOBA","ESC LEOPOLDO LUGONES","4","1"
"6214","1072","4","1064","5008","9","CAMAÑO BAZAN E/CARLES Y  A.GRIMAU 0","1","0009D","","CÓRDOBA","IPEM 198 MARTIN FERREYRA","4","1"
"6215","1086","4","1073","5000","14","CASTRO BARROS 802 B°SAN  MARTIN","1","0009E","CAPITAL","CÓRDOBA","ESC PTE HIPOLITO YRIGOYEN","4","1"
"6216","1131","4","1124","5000","8","ZELAYA 140 B°SAN MARTIN","1","0009F","CAPITAL","CÓRDOBA","COL NTRA SEÑORA DE LA MERCED","4","1"
"6217","1099","4","1087","5000","13","SAAVEDRA 619 B°SAN MARTIN","1","0009F","CAPITAL","CÓRDOBA","ESC ANTONIO DEL VISO","4","1"
"6218","1123","4","1117","5000","7","CERRITO Y GALAN B°SAN  MARTIN","1","0009F","CAPITAL","CÓRDOBA","ESC J DE SAN MARTIN","4","1"
"6219","1116","4","1100","5000","17","CASTRO BARROS 1316 B°SAN  MARTIN","1","0009F","CAPITAL","CÓRDOBA","INST INMACULADA CONCEPCION","4","1"
"6220","1149","4","1142","5000","8","JULIAN PAZ 1851 VILLA CABRERA","1","0009G","CAPITAL","CÓRDOBA","ESC PRESIDENTE KENNEDY","4","1"
"6221","1141","4","1132","5000","10","CIUDAD DE TAMPA 2954 VILLA  CABRERA","1","0009G","CAPITAL","CÓRDOBA","INSTITUTO PEÑA","4","1"
"6222","1208","4","1201","5000","8","COLORADO/GAIMAN/MASCACHI N B°CABILDO","1","0010A","CAPITAL","CÓRDOBA","ESC MUN YAMAHIBIA ARABE LIBIA","4","1"
"6223","1213","4","1209","","5","USUAHIA 2150","1","0010A","B° CABILDO","CÓRDOBA","IPEM 311","4","1"
"6224","1247","4","1237","5000","11","CACHEUTA Y BRANDAN-ALTO  V.SARSFIELD","1","0010B","CAPITAL","CÓRDOBA","ESC GDOR J B BUSTOS","4","1"
"6225","1230","4","1214","5000","17","AV VELEZ SARSFIELD 3200 LAS  FLORE","1","0010B","CAPITAL","CÓRDOBA","ESC PCIA DE CATAMARCA","4","1"
"6226","1236","4","1231","5000","6","TRAFUL 908 B°PQUE ATLANTICA","1","0010B","CAPITAL","CÓRDOBA","ESC REPUBLICA DE SIRIA","4","1"
"6227","1248","4","1248","5000","1","VIRGILIO MOYANO 830","1","0010B","B° RESIDENCIAL VELEZ","CÓRDOBA","J DE INF REPUBLICA DE SIRIA","4","1"
"6228","1264","4","1249","5000","16","ICHO CRUZ S/N° B° COMERCIAL","1","0010C","CAPITAL","CÓRDOBA","ESC ALEJANDRO CARBO","4","1"
"6229","1269","4","1265","5000","5","SOBREMONTE Y RIO III  B°COMERCIAL","1","0010C","CAPITAL","CÓRDOBA","ESC MUNIC AZOR GRIMAUT","4","1"
"6230","1275","4","1270","5000","6","REALICO Y CURAZAO B°  CONGRESO","1","0010D","CAPITAL","CÓRDOBA","ESC MUNIC REPUBLICA DE ITALIA","4","1"
"6231","1278","4","1276","","3","REALICO - B° CONGRES 2407","1","0010D","CONGRESO","CÓRDOBA","IPEM 183""PEDRO B.PALACIOS""","4","1"
"6232","1307","4","1299","5000","9","PETIROSSI Y BONN-ESTACION  FLORES","1","0010E","CAPITAL","CÓRDOBA","ESC ALAS ARGENTINA","4","1"
"6233","1289","4","1279","5000","11","LEOPOLDO CASAVEGA 2320","1","0010E","VILLA ADELA","CÓRDOBA","ESC CADETES FUERZA AEREA","4","1"
"6234","1312","4","1308","5000","5","PUBLICA S/N B°SACHI","1","0010E","CAPITAL","CÓRDOBA","ESC MUNIC CESAR E ROMERO","4","1"
"6235","1297","4","1290","5000","8","AVIADOR MIRA VILLA AD 2658","1","0010E","CAPITAL","CÓRDOBA","ESC PADRE BURON","4","1"
"6236","1298","4","1298","5000","1","LEOPOLDO CASAVEGA 2320","1","0010E","B° VILLA ADELA","CÓRDOBA","J DE INF CADETES FUERZA AEREA","4","1"
"6237","1335","4","1323","5000","13","VARELA ORTIZ 2600 B°  MATIENZO","1","0010F","CAPITAL","CÓRDOBA","COL NUESTRA SEÑORA DE FATIMA","4","1"
"6238","1322","4","1313","5000","10","ESMERALDA/CAP GRELLA B°  MATIENZO","1","0010F","CAPITAL","CÓRDOBA","ESC AERONAUTICA ARGENTINA","4","1"
"6239","1348","4","1343","5000","6","DIAZ DE LA FUENTE 3101  B°MATIENZO","1","0010F","CAPITAL","CÓRDOBA","ESC MIGUEL A ZABALA ORTIZ","4","1"
"6240","1342","4","1336","5000","7","SAN CAYETANO Y BRAILE  B°AMEGHINO(S)","1","0010F","CAPITAL","CÓRDOBA","ESC REPUBLICA ARGENTINA","4","1"
"6241","1401","4","1384","5000","18","AYACUCHO 442 B° GUEMES","1","0010G","CAPITAL","CÓRDOBA","COL NUESTRA SEÑORA DE NIEVA","4","1"
"6242","1374","4","1349","5000","26","MARIANO MORENO 551 B°  OBSERVATORIO","1","0010G","CAPITAL","CÓRDOBA","E.N.E.T. N° 4 COPERNICO","4","1"
"6243","1383","4","1375","5000","9","LA PAMPA 550 B°P DE LOS AND","1","0010G","CAPITAL","CÓRDOBA","EE UU DE NORTEAMERICA","4","1"
"6244","1409","4","1402","5000","8","BOLIVAR 896 B° GÜEM","1","0010G","CAPITAL","CÓRDOBA","ESC ADOLFO SALDIAS","4","1"
"6245","1418","4","1410","5000","9","AV FUERZA AEREA B°PARQUE  CAPITA","1","0010H","CAPITAL","CÓRDOBA","ESC GDOR EMILIO OLMOS","4","1"
"6246","1438","4","1432","5000","7","UNO ESQ DOCE B°AMPL  ROSEDAL","1","0010H","CAPITAL","CÓRDOBA","ESC MUNIC DR A DEL CASTILLO","4","1"
"6247","1431","4","1419","5000","13","ESPORA 2283 B°ROSEDAL","1","0010H","CAPITAL","CÓRDOBA","ESC R ESCALADA DE SAN MARTIN","4","1"
"6248","1443","4","1439","","5","O NAVARRO 2751","1","0010H","ROSEDAL ANEXO","CÓRDOBA","IPEM 154 MARTIN M DE GUEMES","4","1"
"6249","1454","4","1444","","11","CALLE PUBLICA S/N","1","0010I","SMATA I","CÓRDOBA","PRIMARIA ELPIDIO TORRES","4","1"
"6250","1470","4","1466","","5","HUILICHES 1021","1","0010I","SMATA I","CÓRDOBA","SAN JOSE ARTESANO","4","1"
"6251","1465","4","1455","","11","CALLE PUBLICA S/N","1","0010I","SMATA I","CÓRDOBA","SECUNDARIA ELPIDIO TORRES","4","1"
"6252","1481","4","1471","5000","11","CASADO 634 STA ISABEL 1RA  SECCION","1","0010J","CAPITAL","CÓRDOBA","ESC BANDERA ARGENTINA","4","1"
"6253","1498","4","1493","5000","6","OLAVARRIA S/N° STA ISABEL 2DA  SECC","1","0010J","CAPITAL","CÓRDOBA","ESC MUNIC FERNANDEZ ORDOÑEZ","4","1"
"6254","1506","4","1499","","8","COLORADO ESQ LUAYABA","1","0010J","EX BºCABILDO","CÓRDOBA","ESC.OSVALDO JORGE LEON","4","1"
"6255","1492","4","1482","5000","11","J.B.COTTOLENGO 1955","1","0010J","CAPITAL","CÓRDOBA","ESCUELA DON ORIONE","4","1"
"6256","1518","4","1507","5000","12","BARBADOS Y HAITI B° VICOR","1","0010K","CAPITAL","CÓRDOBA","ESC BENITO SORIA","4","1"
